Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Market Price (USD per gram),Category
170,170,cheese tortellini,332,7.8,3.9,2.2,0.5,50.8,1,14.6,2.1,45.4,0.4,32.9,0.079,0.3,0.051,0.038,0.3,2.9,0,0.015,0,0,0.2,0.087,164.2,0.053,1.6,22.7,0,229,96.1,0.064,1.1,241.181,0.007,Snack/appetizer
180,180,bean ham soup,198,2.5,0.6,1,0.7,33.5,7.8,10.3,9.8,4.9,0.5,195.8,0,0.1,0.099,0,0.068,0.8,0.3,0.1,2.7,0,1,0.035,93.1,0.2,2.5,46.6,0.6,31.9,387.1,0.021,1.3,154.4,0.0035,soup
190,190,consomme dry,17,0.2,0,0,0,1.9,1.1,2.2,0,0,0.8,235.9,0,0.1,0.048,0,0.2,1.3,0.051,0.039,0.2,0,0.033,0,12.5,0.021,0.2,7.5,0.08,14.9,57.3,0.058,0.082,17.2,0.008,Snack/appetizer
200,200,chicken vegetable soup,148,5.6,1.7,2.5,1.2,17,3,7.1,1.7,16.9,1.7,207,0.028,0.061,0.093,0.076,0.1,2.4,0.3,0.013,1.9,0,0.6,0.036,33.9,0.2,1.7,12.1,0.7,79.9,304.9,0.001,0.7,68.983,0.003,soup
210,210,chili beef soup,308,6.7,3.3,2.7,0.2,49.6,13.4,13.4,6.6,26.3,2.1,186.4,0.2,0,0.1,0.004,0.067,0.2,2.1,0.6,0.3,8.2,0,2.8,0.072,86.8,0.8,4.3,50,2.1,297.2,1052,0.001,77.607,0.0038,soup
220,220,fish stock,40,1.9,0.5,0.5,0.3,0,0,5.3,0,2.3,0.4,225.9,0.036,0.009,0.072,0.047,0.2,2.8,0.8,0.086,0.2,0,0.4,0,7,0.1,0.019,16.3,0.1,130.5,335.5,0.068,0.1,14.488,0.0045,seafood
230,230,cream of rice coup,127,0.2,0.07,0.071,0.032,28.1,0.022,2.2,0.2,0,0.4,213.5,0,0,0.028,0,0,1,0.2,0.029,0,0,0.092,0,7.3,0.004,0.5,7.3,0.4,41.5,48.8,0.008,0.4,38.5,0.0032,soup
240,240,cream of asparagus soup,174,8.2,2.1,1.9,3.7,21.5,1.8,4.6,1,10.1,1.7,211.8,0.091,0.1,0.089,0,0.2,1.6,0.3,0.033,5.5,0,1.2,0.01,58,0.3,1.6,7.6,0.8,78.1,347.8,0.009,1.8,100.43,0.0035,soup
250,250,shark fin soup,99,4.3,1.1,1.3,0.7,8.2,0,6.9,0,4.3,1.1,194.7,0,0.019,0.048,0.009,0.086,1.1,0.3,0.017,0.2,0,0,0,21.6,0.2,2,15.1,0.002,45.4,114.5,0,1.8,43.2,0.025,soup
260,260,chicken crispy drumsticks kentucky fried chicken,156,10.1,2.2,3.4,3.6,4.5,0,11.8,0,62.1,0.4,29.3,0.071,0.045,0,0.028,0.1,2.6,0.6,0.1,0,0,0,0,14.3,0.2,0.5,12,0.06,112.9,135.1,0.064,1,41.248,0.0085,American
270,270,french toast sticks burger king,73,3.7,0.8,2,0.5,8.7,2.1,1.3,0.3,0,0.014,7,0,0.066,0,0,0.039,0.5,0.072,0.037,0,0,0.2,0.009,11.1,0.036,0.4,4,0.068,18.3,23.3,0.049,0.1,25.5,0.0065,American
280,280,turkey patty fried,79,5,1.3,2.1,1.3,4.4,0.053,3.9,0.1,21,0.2,13.9,0.088,0.096,0.083,0.054,0.032,0.6,0.1,0.069,0,0.078,0.3,0.074,3.9,0.027,0.6,4.2,0.049,75.6,77,0.054,0.4,17.934,0.007,American
290,290,crispy chicken strips kentucky fried chicken,129,7.2,1.4,2,3.2,6.4,0,9.5,0.7,24,0.4,22.5,0,0.075,0,0.006,0.015,4,0.6,0.2,0,0,0.4,0.092,11.8,0.014,0.3,15.5,0.1,140.1,156.5,0.067,0.3,35.9,0.009,American
300,300,cheese ravioli canned,186,3.5,1.7,1,0.4,33,9,6,3.1,7.3,0.7,195.8,0,0.2,0.011,0,0.2,2.6,0.7,0.2,0,0,2.1,0.067,79.9,0.3,1.8,36.3,0.4,121,561.4,0.043,0.9,127.3,0.0055,American
310,310,quarter pounder mcdonalds,417,19.8,6.9,7.2,0.5,37.9,8.8,24.1,2.7,66.7,0.7,86.1,0,0.3,0.052,0.029,0.6,7.6,0,0,1.5,0,0,0,143.6,0.2,4.1,37.6,0.3,212,388.2,0,4.6,233.7,0.0078,American
320,320,filet o fish mcdonalds,378,19.6,3.8,5.4,8,35.4,4.9,15.1,1.9,42.9,0.6,61.3,0,0.3,0.073,0.054,0.2,3,0,0,0.4,0,1.6,0.058,160.8,0.025,2.1,36.2,0.4,183.6,294.8,0.017,0.8,235.3,0.0085,American
330,330,whopper burger king,790,48.4,18.3,16,12,52.8,13,35.4,3.2,113.8,1.4,173.5,0,0.7,0.2,0,0.6,8.1,0.6,0.2,0.6,0,0.3,0.008,259.1,0.2,6.3,56.9,0.6,357.1,534,0.032,5.1,405.8,0.0075,American
340,340,cheese pizza pizza hut,260,10.5,4.8,2.8,1.8,30,3.2,11.5,1.7,23,0.7,41.6,0.075,0.3,0,0.033,0.2,3.2,0.3,0.1,0,0,0.7,0.039,200.6,0.003,1.9,21.1,0.3,239,166.1,0.022,1.6,256.272,0.0065,American
350,350,whitefish cooked,265,11.6,1.8,3.9,4.2,0,0,37.7,0,118.6,0.1,100.2,0.082,0.3,0,0.027,0.2,5.9,1.3,0.5,0,0,0,0,50.8,0.1,0.7,64.7,0.1,532.8,625.2,0.08,2,100.864,0.018,seafood
360,360,whiting cooked,84,1.2,0.3,0.3,0.4,0,0,16.9,0,60.5,0.018,53.8,0.064,0.04,0.075,0.045,0.05,1.2,0.2,0.1,0,0.027,0.3,0.075,44.6,0.01,0.3,19.4,0.017,205.2,312.5,0.077,0.4,63.037,0.012,seafood
370,370,jellyfish dried,21,0.8,0.2,0.1,0.3,0,0,3.2,0,2.9,5.6,39.4,0.024,0.082,0.033,0,0.05,0.1,0,0.054,0,0,0.05,0.059,1.2,0.08,1.3,1.2,0,11.6,1.7,0.014,0.2,6.517,0.02,seafood
380,380,ocean perch raw,51,1,0.2,0.3,0.2,0,0,9.8,0,33.3,0.2,50.4,0.087,0.064,0.074,0.021,0.06,0.6,0.2,0.078,0,0.08,0.5,0.051,17.9,0.043,0.1,14.7,0.045,158.7,119.7,0.029,0.2,28.835,0.0095,raw-seafood
390,390,mackerel cooked,231,15.7,3.7,6.2,3.8,0,0,21,0,66,0.064,46.9,0.065,0.1,0.014,0.097,0.4,6,0.9,0.4,0.4,0,0,0,13.2,0.086,1.4,85.4,0.008,244.6,352.9,0.038,0.8,51.733,0.011,seafood
400,400,sheepshead cooked,234,3,0.7,0.7,0.7,0,0,48.4,0,119,0.1,128.4,0.069,0.061,0.058,0.062,0.089,3.3,1.6,0.7,0,0,0,0,68.8,0.2,1.2,65.1,0.085,651,952.3,0.065,1.2,121.48,0.0125,seafood
410,410,roe raw,20,0.9,0.2,0.2,0.4,0.2,0,3.1,0,52.4,0.052,9.5,0.028,0.025,0.068,0.004,0.1,0.3,0.1,0.072,2.2,0.02,1,0.018,3.1,0.062,0.085,2.8,0.002,56.3,30.9,0.059,0.1,9.553,0.028,raw-seafood
420,420,chinook salmon cooked,711,41.2,9.9,17.7,8.2,0,0,79.2,0,261.8,0.2,202,0.5,0.1,0.1,0.065,0.5,30.9,2.7,1.4,12.6,0,0,0,86.2,0.2,2.8,375.8,0.074,1142.7,1555.4,0.1,1.7,222.5,0.035,seafood
430,430,pout raw,278,3.2,1.1,1.2,0.1,0,0,58.6,0,183,0.2,286.4,0.032,0.3,0.022,0.021,0.2,7.4,0.5,0.8,0,0,0,0,35.2,0.1,1,45.8,0.003,704,1408,0.1,3.6,98.078,0.008,raw-seafood
440,440,cusk raw,106,0.8,0.2,0.1,0.3,0,0,23.2,0,50,0.086,93.1,0.038,0.033,0.038,0.037,0.2,3.3,0.3,0.5,0,0,0,0,12.2,0.061,1,37.8,0.032,248.9,478.2,0.01,0.5,37.228,0.009,raw-seafood
450,450,milkfish raw,42,1.9,0.5,0.7,0.5,0,0,5.8,0,14.7,0.098,20.1,0.099,0.091,0.09,0.012,0.027,1.8,0.2,0.1,0,0,0,0,14.4,0.021,0.057,8.5,0.088,45.8,82.6,0.042,0.2,22.203,0.0085,raw-seafood
